
Epoch 1 | Loss: 37.0743033 | Val_loss: 22.3270991
Epoch 2 | Loss: 8.5213096 | Val_loss: 0.2406900
Epoch 3 | Loss: 0.2407113 | Val_loss: 0.2409779
Epoch 4 | Loss: 0.2407253 | Val_loss: 0.2409605
Epoch 5 | Loss: 0.2408099 | Val_loss: 0.2407691
Epoch 6 | Loss: 0.2407535 | Val_loss: 0.2412635
Epoch 7 | Loss: 0.2407470 | Val_loss: 0.2405036
Epoch 8 | Loss: 0.2407848 | Val_loss: 0.2409969
Epoch 9 | Loss: 0.2408077 | Val_loss: 0.2410389
Epoch 10 | Loss: 0.2407739 | Val_loss: 0.2406042
Epoch 11 | Loss: 0.2407748 | Val_loss: 0.2409003
Epoch 12 | Loss: 0.2408137 | Val_loss: 0.2409284
Epoch 13 | Loss: 0.2407656 | Val_loss: 0.2405934
Epoch 14 | Loss: 0.2408417 | Val_loss: 0.2407116
Epoch 15 | Loss: 0.2407461 | Val_loss: 0.2408005
Epoch 16 | Loss: 0.2408027 | Val_loss: 0.2410880
Epoch 17 | Loss: 0.2407694 | Val_loss: 0.2407947
Epoch 18 | Loss: 0.2407861 | Val_loss: 0.2407818
Epoch 19 | Loss: 0.2407749 | Val_loss: 0.2408203
Epoch 20 | Loss: 0.2407865 | Val_loss: 0.2403922
Epoch 21 | Loss: 0.2407699 | Val_loss: 0.2406865
Epoch 22 | Loss: 0.2407992 | Val_loss: 0.2409421
Epoch 23 | Loss: 0.2407925 | Val_loss: 0.2412692
Epoch 24 | Loss: 0.2407241 | Val_loss: 0.2405962
Epoch 25 | Loss: 0.2407627 | Val_loss: 0.2402529
Epoch 26 | Loss: 0.2407823 | Val_loss: 0.2410323
Epoch 27 | Loss: 0.2408002 | Val_loss: 0.2406486
Epoch 28 | Loss: 0.2408235 | Val_loss: 0.2412253
Epoch 29 | Loss: 0.2407166 | Val_loss: 0.2409725
Epoch 30 | Loss: 0.2407176 | Val_loss: 0.2407306
Epoch 31 | Loss: 0.2407811 | Val_loss: 0.2407473
Epoch 32 | Loss: 0.2407704 | Val_loss: 0.2408296
Epoch 33 | Loss: 0.2408100 | Val_loss: 0.2415035
Epoch 34 | Loss: 0.2408330 | Val_loss: 0.2410140
Epoch 35 | Loss: 0.2407210 | Val_loss: 0.2404694
Epoch 36 | Loss: 0.2408242 | Val_loss: 0.2413511
Epoch 37 | Loss: 0.2407742 | Val_loss: 0.2405162
Epoch 38 | Loss: 0.2407959 | Val_loss: 0.2410203
Epoch 39 | Loss: 0.2407611 | Val_loss: 0.2408679
Epoch 40 | Loss: 0.2407769 | Val_loss: 0.2411008
Epoch 41 | Loss: 0.2408272 | Val_loss: 0.2409541
Epoch 42 | Loss: 0.2407663 | Val_loss: 0.2409635
Epoch 43 | Loss: 0.2407623 | Val_loss: 0.2410389
Epoch 44 | Loss: 0.2407551 | Val_loss: 0.2410126
Epoch 45 | Loss: 0.2407761 | Val_loss: 0.2409194
Epoch 46 | Loss: 0.2407917 | Val_loss: 0.2408183
Epoch 47 | Loss: 0.2408096 | Val_loss: 0.2408521
Epoch 48 | Loss: 0.2407365 | Val_loss: 0.2408837
Epoch 49 | Loss: 0.2407362 | Val_loss: 0.2408798
Epoch 50 | Loss: 0.2407543 | Val_loss: 0.2407878
