
Epoch 1 | Loss: 1.8864988 | Val_loss: 1.2023089
Epoch 2 | Loss: 0.5992132 | Val_loss: 0.2419229
Epoch 3 | Loss: 0.2316361 | Val_loss: 0.2237575
Epoch 4 | Loss: 0.2192510 | Val_loss: 0.2131204
Epoch 5 | Loss: 0.2113922 | Val_loss: 0.2112108
Epoch 6 | Loss: 0.2081793 | Val_loss: 0.1994346
Epoch 7 | Loss: 0.1922924 | Val_loss: 0.1907051
Epoch 8 | Loss: 0.1859712 | Val_loss: 0.1805853
Epoch 9 | Loss: 0.1803283 | Val_loss: 0.1804669
Epoch 10 | Loss: 0.1802638 | Val_loss: 0.1804319
Epoch 11 | Loss: 0.1802231 | Val_loss: 0.1803555
Epoch 12 | Loss: 0.1801931 | Val_loss: 0.1803604
Epoch 13 | Loss: 0.1801733 | Val_loss: 0.1803188
Epoch 14 | Loss: 0.1801604 | Val_loss: 0.1802968
Epoch 15 | Loss: 0.1801495 | Val_loss: 0.1802811
Epoch 16 | Loss: 0.1801347 | Val_loss: 0.1803055
Epoch 17 | Loss: 0.1801274 | Val_loss: 0.1802770
Epoch 18 | Loss: 0.1801241 | Val_loss: 0.1802645
Epoch 19 | Loss: 0.1801206 | Val_loss: 0.1802698
Epoch 20 | Loss: 0.1801216 | Val_loss: 0.1802663
Epoch 21 | Loss: 0.1801177 | Val_loss: 0.1802812
Epoch 22 | Loss: 0.1801196 | Val_loss: 0.1802640
Epoch 23 | Loss: 0.1801196 | Val_loss: 0.1802619
Epoch 24 | Loss: 0.1801196 | Val_loss: 0.1802748
Epoch 25 | Loss: 0.1801200 | Val_loss: 0.1802730
Epoch 26 | Loss: 0.1801163 | Val_loss: 0.1802555
Epoch 27 | Loss: 0.1801190 | Val_loss: 0.1802555
Epoch 28 | Loss: 0.1801192 | Val_loss: 0.1802503
Epoch 29 | Loss: 0.1801163 | Val_loss: 0.1802662
Epoch 30 | Loss: 0.1801219 | Val_loss: 0.1802675
Epoch 31 | Loss: 0.1801189 | Val_loss: 0.1802620
Epoch 32 | Loss: 0.1801205 | Val_loss: 0.1802651
Epoch 33 | Loss: 0.1801161 | Val_loss: 0.1802686
Epoch 34 | Loss: 0.1801176 | Val_loss: 0.1802588
Epoch 35 | Loss: 0.1801187 | Val_loss: 0.1802694
Epoch 36 | Loss: 0.1801222 | Val_loss: 0.1802491
Epoch 37 | Loss: 0.1801202 | Val_loss: 0.1802721
Epoch 38 | Loss: 0.1801161 | Val_loss: 0.1802740
Epoch 39 | Loss: 0.1801190 | Val_loss: 0.1802448
Epoch 40 | Loss: 0.1801193 | Val_loss: 0.1802567
Epoch 41 | Loss: 0.1801184 | Val_loss: 0.1802615
Epoch 42 | Loss: 0.1801213 | Val_loss: 0.1802727
Epoch 43 | Loss: 0.1801184 | Val_loss: 0.1802460
Epoch 44 | Loss: 0.1801209 | Val_loss: 0.1802608
Epoch 45 | Loss: 0.1801162 | Val_loss: 0.1802814
Epoch 46 | Loss: 0.1801183 | Val_loss: 0.1802783
Epoch 47 | Loss: 0.1801186 | Val_loss: 0.1802294
Epoch 48 | Loss: 0.1801172 | Val_loss: 0.1802597
Epoch 49 | Loss: 0.1801180 | Val_loss: 0.1802695
Epoch 50 | Loss: 0.1801184 | Val_loss: 0.1802410
