
Starting training...
Epoch 1 | Loss: 0.0068226 | Val_loss: 0.0017965
Epoch 2 | Loss: 0.0015999 | Val_loss: 0.0011373
Epoch 3 | Loss: 0.0010613 | Val_loss: 0.0008430
Epoch 4 | Loss: 0.0008040 | Val_loss: 0.0007780
Epoch 5 | Loss: 0.0006537 | Val_loss: 0.0006728
Epoch 6 | Loss: 0.0005364 | Val_loss: 0.0007961
Epoch 7 | Loss: 0.0004793 | Val_loss: 0.0007339
Epoch 8 | Loss: 0.0004118 | Val_loss: 0.0006143
Epoch 9 | Loss: 0.0003642 | Val_loss: 0.0007203
Epoch 10 | Loss: 0.0003169 | Val_loss: 0.0007069
Epoch 11 | Loss: 0.0002989 | Val_loss: 0.0008332
Epoch 12 | Loss: 0.0002518 | Val_loss: 0.0007412
Epoch 13 | Loss: 0.0002282 | Val_loss: 0.0006492
Epoch 14 | Loss: 0.0001981 | Val_loss: 0.0006677
Epoch 15 | Loss: 0.0001961 | Val_loss: 0.0007825
Epoch 16 | Loss: 0.0001704 | Val_loss: 0.0007048
Epoch 17 | Loss: 0.0001631 | Val_loss: 0.0007287
Epoch 18 | Loss: 0.0001343 | Val_loss: 0.0008161
Epoch 19 | Loss: 0.0001499 | Val_loss: 0.0007632
Epoch 20 | Loss: 0.0001109 | Val_loss: 0.0008208
Epoch 21 | Loss: 0.0001242 | Val_loss: 0.0008118
Epoch 22 | Loss: 0.0001093 | Val_loss: 0.0007891
Epoch 23 | Loss: 0.0001078 | Val_loss: 0.0007997
Epoch 24 | Loss: 0.0000862 | Val_loss: 0.0009677
Epoch 25 | Loss: 0.0001032 | Val_loss: 0.0007918
Epoch 26 | Loss: 0.0000791 | Val_loss: 0.0008365
Epoch 27 | Loss: 0.0001002 | Val_loss: 0.0007831
Epoch 28 | Loss: 0.0000837 | Val_loss: 0.0007614
Epoch 29 | Loss: 0.0000667 | Val_loss: 0.0008451
Epoch 30 | Loss: 0.0000742 | Val_loss: 0.0007651
Epoch 31 | Loss: 0.0000823 | Val_loss: 0.0008086
Epoch 32 | Loss: 0.0000746 | Val_loss: 0.0009209
Epoch 33 | Loss: 0.0000517 | Val_loss: 0.0008108
Epoch 34 | Loss: 0.0000855 | Val_loss: 0.0007568
Epoch 35 | Loss: 0.0000608 | Val_loss: 0.0007857
Epoch 36 | Loss: 0.0000586 | Val_loss: 0.0008690
Epoch 37 | Loss: 0.0000649 | Val_loss: 0.0008086
Epoch 38 | Loss: 0.0000652 | Val_loss: 0.0006823
Epoch 39 | Loss: 0.0000378 | Val_loss: 0.0009963
Epoch 40 | Loss: 0.0000740 | Val_loss: 0.0007932
Epoch 41 | Loss: 0.0000533 | Val_loss: 0.0008012
Epoch 42 | Loss: 0.0000706 | Val_loss: 0.0007739
Epoch 43 | Loss: 0.0000333 | Val_loss: 0.0010485
Epoch 44 | Loss: 0.0000616 | Val_loss: 0.0008966
Epoch 45 | Loss: 0.0000552 | Val_loss: 0.0009864
Epoch 46 | Loss: 0.0000626 | Val_loss: 0.0007605
Epoch 47 | Loss: 0.0000480 | Val_loss: 0.0007766
Epoch 48 | Loss: 0.0000477 | Val_loss: 0.0007584
Epoch 49 | Loss: 0.0000309 | Val_loss: 0.0009419
Epoch 50 | Loss: 0.0000721 | Val_loss: 0.0008427
Finished Training
