
Starting training...
Epoch 1 | Loss: 0.0079937 | Val_loss: 0.0026664
Epoch 2 | Loss: 0.0020264 | Val_loss: 0.0015405
Epoch 3 | Loss: 0.0013194 | Val_loss: 0.0011602
Epoch 4 | Loss: 0.0010321 | Val_loss: 0.0008535
Epoch 5 | Loss: 0.0008151 | Val_loss: 0.0007686
Epoch 6 | Loss: 0.0006867 | Val_loss: 0.0007208
Epoch 7 | Loss: 0.0006152 | Val_loss: 0.0007074
Epoch 8 | Loss: 0.0005440 | Val_loss: 0.0006678
Epoch 9 | Loss: 0.0004476 | Val_loss: 0.0006014
Epoch 10 | Loss: 0.0004071 | Val_loss: 0.0008546
Epoch 11 | Loss: 0.0003755 | Val_loss: 0.0006685
Epoch 12 | Loss: 0.0003404 | Val_loss: 0.0007225
Epoch 13 | Loss: 0.0002965 | Val_loss: 0.0006628
Epoch 14 | Loss: 0.0002826 | Val_loss: 0.0006479
Epoch 15 | Loss: 0.0002363 | Val_loss: 0.0007603
Epoch 16 | Loss: 0.0002162 | Val_loss: 0.0008696
Epoch 17 | Loss: 0.0001865 | Val_loss: 0.0011223
Epoch 18 | Loss: 0.0001909 | Val_loss: 0.0007431
Epoch 19 | Loss: 0.0002037 | Val_loss: 0.0008396
Epoch 20 | Loss: 0.0001380 | Val_loss: 0.0007217
Epoch 21 | Loss: 0.0001687 | Val_loss: 0.0007754
Epoch 22 | Loss: 0.0001226 | Val_loss: 0.0008560
Epoch 23 | Loss: 0.0001503 | Val_loss: 0.0007646
Epoch 24 | Loss: 0.0001288 | Val_loss: 0.0010509
Epoch 25 | Loss: 0.0000908 | Val_loss: 0.0007972
Epoch 26 | Loss: 0.0001172 | Val_loss: 0.0008859
Epoch 27 | Loss: 0.0001266 | Val_loss: 0.0008208
Epoch 28 | Loss: 0.0000871 | Val_loss: 0.0008390
Epoch 29 | Loss: 0.0001096 | Val_loss: 0.0009818
Epoch 30 | Loss: 0.0000873 | Val_loss: 0.0010772
Epoch 31 | Loss: 0.0000862 | Val_loss: 0.0008938
Epoch 32 | Loss: 0.0000900 | Val_loss: 0.0009112
Epoch 33 | Loss: 0.0000635 | Val_loss: 0.0009822
Epoch 34 | Loss: 0.0000993 | Val_loss: 0.0009439
Epoch 35 | Loss: 0.0000593 | Val_loss: 0.0009843
Epoch 36 | Loss: 0.0000915 | Val_loss: 0.0009263
Epoch 37 | Loss: 0.0000736 | Val_loss: 0.0011481
Epoch 38 | Loss: 0.0000629 | Val_loss: 0.0009529
Epoch 39 | Loss: 0.0000536 | Val_loss: 0.0010164
Epoch 40 | Loss: 0.0000738 | Val_loss: 0.0009741
Epoch 41 | Loss: 0.0000727 | Val_loss: 0.0009661
Epoch 42 | Loss: 0.0000584 | Val_loss: 0.0013210
Epoch 43 | Loss: 0.0000631 | Val_loss: 0.0010242
Epoch 44 | Loss: 0.0000798 | Val_loss: 0.0009410
Epoch 45 | Loss: 0.0000466 | Val_loss: 0.0012407
Epoch 46 | Loss: 0.0000719 | Val_loss: 0.0012353
Epoch 47 | Loss: 0.0000600 | Val_loss: 0.0008773
Epoch 48 | Loss: 0.0000255 | Val_loss: 0.0010108
Epoch 49 | Loss: 0.0000762 | Val_loss: 0.0011367
Epoch 50 | Loss: 0.0000460 | Val_loss: 0.0010978
Finished Training
