
Starting training...
Epoch 1 | Loss: 0.0048282 | Val_loss: 0.0012149
Epoch 2 | Loss: 0.0010778 | Val_loss: 0.0007900
Epoch 3 | Loss: 0.0007222 | Val_loss: 0.0008136
Epoch 4 | Loss: 0.0005699 | Val_loss: 0.0005932
Epoch 5 | Loss: 0.0004536 | Val_loss: 0.0005474
Epoch 6 | Loss: 0.0003976 | Val_loss: 0.0005981
Epoch 7 | Loss: 0.0003234 | Val_loss: 0.0005508
Epoch 8 | Loss: 0.0002862 | Val_loss: 0.0005183
Epoch 9 | Loss: 0.0002490 | Val_loss: 0.0005552
Epoch 10 | Loss: 0.0002359 | Val_loss: 0.0005123
Epoch 11 | Loss: 0.0001915 | Val_loss: 0.0004672
Epoch 12 | Loss: 0.0001723 | Val_loss: 0.0005172
Epoch 13 | Loss: 0.0001680 | Val_loss: 0.0006424
Epoch 14 | Loss: 0.0001437 | Val_loss: 0.0005602
Epoch 15 | Loss: 0.0001336 | Val_loss: 0.0005042
Epoch 16 | Loss: 0.0001421 | Val_loss: 0.0005588
Epoch 17 | Loss: 0.0001058 | Val_loss: 0.0005619
Epoch 18 | Loss: 0.0001045 | Val_loss: 0.0008123
Epoch 19 | Loss: 0.0001036 | Val_loss: 0.0007130
Epoch 20 | Loss: 0.0000698 | Val_loss: 0.0005679
Epoch 21 | Loss: 0.0000945 | Val_loss: 0.0006887
Epoch 22 | Loss: 0.0000896 | Val_loss: 0.0006686
Epoch 23 | Loss: 0.0000716 | Val_loss: 0.0008949
Epoch 24 | Loss: 0.0000871 | Val_loss: 0.0005809
Epoch 25 | Loss: 0.0000587 | Val_loss: 0.0009436
Epoch 26 | Loss: 0.0000725 | Val_loss: 0.0006425
Epoch 27 | Loss: 0.0000686 | Val_loss: 0.0005945
Epoch 28 | Loss: 0.0000708 | Val_loss: 0.0006327
Epoch 29 | Loss: 0.0000538 | Val_loss: 0.0006988
Epoch 30 | Loss: 0.0000629 | Val_loss: 0.0008515
Epoch 31 | Loss: 0.0000690 | Val_loss: 0.0006094
Epoch 32 | Loss: 0.0000494 | Val_loss: 0.0008164
Epoch 33 | Loss: 0.0000620 | Val_loss: 0.0007812
Epoch 34 | Loss: 0.0000524 | Val_loss: 0.0006256
Epoch 35 | Loss: 0.0000536 | Val_loss: 0.0006773
Epoch 36 | Loss: 0.0000470 | Val_loss: 0.0007751
Epoch 37 | Loss: 0.0000530 | Val_loss: 0.0007238
Epoch 38 | Loss: 0.0000438 | Val_loss: 0.0007238
Epoch 39 | Loss: 0.0000536 | Val_loss: 0.0005812
Epoch 40 | Loss: 0.0000316 | Val_loss: 0.0007270
Epoch 41 | Loss: 0.0000676 | Val_loss: 0.0006552
Epoch 42 | Loss: 0.0000232 | Val_loss: 0.0008114
Epoch 43 | Loss: 0.0000483 | Val_loss: 0.0007601
Epoch 44 | Loss: 0.0000265 | Val_loss: 0.0007848
Epoch 45 | Loss: 0.0000439 | Val_loss: 0.0007283
Epoch 46 | Loss: 0.0000498 | Val_loss: 0.0006923
Epoch 47 | Loss: 0.0000263 | Val_loss: 0.0006747
Epoch 48 | Loss: 0.0000399 | Val_loss: 0.0008155
Epoch 49 | Loss: 0.0000534 | Val_loss: 0.0007700
Epoch 50 | Loss: 0.0000444 | Val_loss: 0.0007157
Finished Training
